simulation,seed,total_connections,succeeded,failed,success_rate_pct,rip_events,grid_size,copper_layers
1,0,10,5,5,50.00,140,12,2
2,1,8,8,0,100.00,1,12,2
3,2,10,6,4,60.00,121,12,2
4,3,5,5,0,100.00,0,12,2
5,4,8,6,2,75.00,64,12,2
6,5,8,7,1,87.50,35,12,2
7,6,10,8,2,80.00,80,12,2
8,7,7,5,2,71.43,56,12,2
9,8,9,7,2,77.78,74,12,2
10,9,8,4,4,50.00,112,12,2
11,10,6,6,0,100.00,0,12,2
12,11,8,8,0,100.00,7,12,2
13,12,9,7,2,77.78,72,12,2
14,13,9,8,1,88.89,37,12,2
15,14,10,7,3,70.00,82,12,2
16,15,9,8,1,88.89,37,12,2
17,16,5,4,1,80.00,20,12,2
18,17,9,7,2,77.78,77,12,2
19,18,9,7,2,77.78,73,12,2
20,19,6,5,1,83.33,25,12,2
21,20,6,4,2,66.67,48,12,2
22,21,6,6,0,100.00,1,12,2
23,22,9,6,3,66.67,107,12,2
24,23,10,8,2,80.00,50,12,2
25,24,9,6,3,66.67,74,12,2
26,25,8,7,1,87.50,33,12,2
27,26,5,4,1,80.00,20,12,2
28,27,6,5,1,83.33,24,12,2
29,28,7,6,1,85.71,30,12,2
30,29,10,8,2,80.00,51,12,2
31,30,6,6,0,100.00,3,12,2
32,31,8,6,2,75.00,64,12,2
33,32,7,6,1,85.71,29,12,2
34,33,9,5,4,55.56,108,12,2
35,34,10,7,3,70.00,81,12,2
36,35,8,8,0,100.00,3,12,2
37,36,8,7,1,87.50,33,12,2
38,37,9,7,2,77.78,72,12,2
39,38,5,5,0,100.00,0,12,2
40,39,8,7,1,87.50,32,12,2
41,40,9,8,1,88.89,39,12,2
42,41,9,5,4,55.56,109,12,2
43,42,9,6,3,66.67,74,12,2
44,43,5,5,0,100.00,1,12,2
45,44,6,6,0,100.00,0,12,2
46,45,9,8,1,88.89,39,12,2
47,46,5,5,0,100.00,1,12,2
48,47,7,7,0,100.00,1,12,2
49,48,9,8,1,88.89,38,12,2
50,49,9,6,3,66.67,73,12,2

TOTAL,,394,316,78,80.20,2351,12,2
